"","trait","h2_estimate","is_heritable","dataset","simple_name"
"113","k__Bacteria.p__Proteobacteria.c__Betaproteobacteria",8.12e-15,"NS","Goodrich 2014","c_Betaproteobacteria"
"114","k__Bacteria.p__Proteobacteria.c__Betaproteobacteria",0.031223074,"NS","Turnbaugh 2009","c_Betaproteobacteria"
"115","k__Bacteria.p__Proteobacteria.c__Betaproteobacteria",1.52e-27,"NS","Yatsunenko 2012","c_Betaproteobacteria"
"116","k__Bacteria.p__Firmicutes.c__Clostridia",5.57e-12,"NS","Goodrich 2014","c_Clostridia"
"117","k__Bacteria.p__Firmicutes.c__Clostridia",0.385881954,"heritable","Turnbaugh 2009","c_Clostridia"
"118","k__Bacteria.p__Firmicutes.c__Clostridia",0,"NS","Yatsunenko 2012","c_Clostridia"
"119","k__Bacteria.p__Actinobacteria.c__Coriobacteriia",0.009367023,"NS","Goodrich 2014","c_Coriobacteriia"
"120","k__Bacteria.p__Actinobacteria.c__Coriobacteriia",3.58e-13,"NS","Turnbaugh 2009","c_Coriobacteriia"
"121","k__Bacteria.p__Actinobacteria.c__Coriobacteriia",0.267011474,"NS","Yatsunenko 2012","c_Coriobacteriia"
"122","k__Bacteria.p__Bacteroidetes.c__Cytophagia",7.32e-13,"NS","Yatsunenko 2012","c_Cytophagia"
"123","k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria",0.1721351,"NS","Goodrich 2014","c_Deltaproteobacteria"
"124","k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria",0.147158929,"NS","Turnbaugh 2009","c_Deltaproteobacteria"
"125","k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria",9.43e-16,"NS","Yatsunenko 2012","c_Deltaproteobacteria"
"126","k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria",2.85e-13,"NS","Yatsunenko 2012","c_Epsilonproteobacteria"
"127","k__Bacteria.p__Firmicutes.c__Erysipelotrichi",5.72e-14,"NS","Goodrich 2014","c_Erysipelotrichi"
"128","k__Bacteria.p__Firmicutes.c__Erysipelotrichi",0.188108651,"NS","Turnbaugh 2009","c_Erysipelotrichi"
"129","k__Bacteria.p__Firmicutes.c__Erysipelotrichi",0.396351725,"NS","Yatsunenko 2012","c_Erysipelotrichi"
"130","k__Bacteria.p__Fusobacteria.c__Fusobacteriia",0.407830918,"heritable","Yatsunenko 2012","c_Fusobacteriia"
"131","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria",0.180315375,"NS","Goodrich 2014","c_Gammaproteobacteria"
"132","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria",0.169333665,"NS","Yatsunenko 2012","c_Gammaproteobacteria"
"133","k__Bacteria.p__Lentisphaerae.c__.Lentisphaeria.",0.083777511,"NS","Yatsunenko 2012","c_Lentisphaeria"
"134","k__Archaea.p__Euryarchaeota.c__Methanobacteria",0.229821271,"NS","Goodrich 2014","c_Methanobacteria"
"135","k__Archaea.p__Euryarchaeota.c__Methanobacteria",0.23615634,"NS","Yatsunenko 2012","c_Methanobacteria"
"136","k__Bacteria.p__Tenericutes.c__Mollicutes",0.242305901,"NS","Goodrich 2014","c_Mollicutes"
"137","k__Bacteria.p__Tenericutes.c__Mollicutes",0.596302001,"heritable","Yatsunenko 2012","c_Mollicutes"
"138","k__Bacteria.p__Tenericutes.c__RF3",0.252833617,"heritable","Goodrich 2014","c_RF3"
