"","phenotype","Vplate","Vplate_constraint","Vmom","Vmom_constraint","VA","VA_constraint","VI","VI_constraint","heritability","heritability_se","model_type_significance"
"161","asv_458",0.57839300002775,"Positive",0.0147811319339067,"Positive",0.804666460212664,"Positive",0.205633719423211,"Positive",0.164436637238619,0.0319829748294451,"sig"
"162","asv_7762",0.24518395530518,"Positive",0.00385978340133794,"Positive",0.770429783558693,"Positive",0.416587949461934,"Positive",0.163017300593244,0.0314688626807405,"sig"
"163","asv_7641",0.329397665549914,"Positive",6.85823417775374e-08,"Boundary",0.752572353711376,"Positive",0.264525792177052,"Positive",0.162314897540256,0.0344741996139072,"sig"
"164","asv_5363",0.231977808018075,"Positive",4.79192239852585e-08,"Boundary",0.759811001461028,"Positive",0.439927940289642,"Positive",0.160918376517854,0.0299346591976804,"sig"
"165","asv_5232",0.247989813749318,"Positive",0.0227527828849005,"Positive",0.729654170386766,"Positive",0.248291806630081,"Positive",0.160763215749744,0.0299921960741332,"sig"
"166","asv_5438",0.291483200412164,"Positive",0.0193099776507712,"Positive",0.732696800253205,"Positive",0.239466346925294,"Positive",0.160223878852489,0.0278693501394942,"sig"
"167","asv_3220",0.405255836997203,"Positive",3.97397792591141e-07,"Boundary",0.784183947959172,"Positive",0.46981079699726,"Positive",0.15844497505397,0.0357166900302878,"sig"
"168","asv_1916",0.399105572915731,"Positive",0.0611510714562752,"Positive",0.736386258187944,"Positive",0.220440934042495,"Positive",0.156442137797032,0.0328269442973214,"sig"
"169","asv_2748",0.20579212301074,"Positive",4.55649779898993e-07,"Boundary",0.715316566347877,"Positive",0.364950697859659,"Positive",0.15631713546376,0.0331918052028528,"sig"
"170","asv_2939",0.679977802307859,"Positive",2.21722900050438e-07,"Boundary",0.798538451985237,"Positive",0.432466081198041,"Positive",0.153536075770457,0.0315688635852336,"sig"
"171","asv_2761",0.236607916537487,"Positive",0.0917338028033301,"Positive",0.749688719642935,"Positive",0.603528367725408,"Positive",0.150795504748173,0.0382739443163901,"sig"
"172","asv_5882",0.561303956300315,"Positive",1.76615224456951e-07,"Boundary",0.748893635556804,"Positive",0.451128615116942,"Positive",0.148256829728882,0.0310721703008875,"sig"
"173","asv_7570",0.185427067208097,"Positive",0.00755581922876028,"Positive",0.648234497471334,"Positive",0.251401426413601,"Positive",0.147910307860824,0.0301592788750157,"sig"
"174","asv_3752",0.239638780690545,"Positive",0.0344778045735974,"Positive",0.67812095268011,"Positive",0.362310254183815,"Positive",0.147271997879884,0.027551309476726,"sig"
"175","asv_3417",0.147369529265878,"Positive",4.63527744958809e-08,"Boundary",0.610852142140013,"Positive",0.107865624802514,"Positive",0.146977696037441,0.0216004212431762,"sig"
"176","asv_2880",0.43047763534866,"Positive",0.117829150084847,"Positive",0.790069408189062,"Positive",0.74709003881373,"Positive",0.146976908425482,0.0375953656967509,"sig"
"177","asv_10273",0.322027417915507,"Positive",0.0073459483729811,"Positive",0.658977548478748,"Positive",0.225342159259627,"Positive",0.146319373378066,0.0242669746316084,"sig"
"178","asv_10036",0.208174967255494,"Positive",0.00622316403100448,"Positive",0.634410709603789,"Positive",0.21363134820033,"Positive",0.145759776594734,0.0245047614835986,"sig"
"179","asv_4671",0.313128268500943,"Positive",5.38535468060974e-08,"Boundary",0.638110330739265,"Positive",0.161075396784756,"Positive",0.1449488436103,0.0247006766463487,"sig"
"180","asv_2663",0.181186940972381,"Positive",3.19901664374975e-07,"Boundary",0.636492687969476,"Positive",0.29957590724777,"Positive",0.144419273296733,0.0324659007470265,"sig"
"181","asv_5205",0.267955390837528,"Positive",2.03439908941124e-07,"Boundary",0.662422997171127,"Positive",0.366677483281738,"Positive",0.144411358042985,0.0299161137620989,"sig"
"182","asv_5794",0.135844409944537,"Positive",4.17216644974803e-08,"Boundary",0.615513159845011,"Positive",0.225946175799439,"Positive",0.144239358274729,0.026638107183413,"sig"
"183","asv_7705",0.218727725666888,"Positive",5.48580506125344e-08,"Boundary",0.649449973290803,"Positive",0.344844058942076,"Positive",0.144225366941551,0.0303419620569153,"sig"
"184","asv_3304",0.85219440024023,"Positive",1.01587718275947e-07,"Boundary",0.742004952190176,"Positive",0.28283082940055,"Positive",0.143603755250152,0.027640775080086,"sig"
"185","asv_4307",0.494871070015446,"Positive",0.0614576054580768,"Positive",0.72998236196822,"Positive",0.551855056161356,"Positive",0.142347644098112,0.0312874518299229,"sig"
"186","asv_7462",0.309988370867086,"Positive",0.0274112720668978,"Positive",0.638372128531661,"Positive",0.235589787314799,"Positive",0.141817563462868,0.0247459153891585,"sig"
"187","asv_7648",0.207033149405956,"Positive",0.0159215967612243,"Positive",0.588733561428887,"Positive",0.0508577974390457,"Positive",0.141776526145014,0.0281754401912885,"sig"
"188","asv_4424",0.211908366826156,"Positive",0.0129370092494628,"Positive",0.647258960565765,"Positive",0.408561256325253,"Positive",0.141611532806463,0.027840881422534,"sig"
"189","asv_7582",0.194452815881931,"Positive",3.61762326678379e-07,"Boundary",0.606200334289727,"Positive",0.221785694764286,"Positive",0.140570175075894,0.0268297241841735,"sig"
"190","asv_6569",0.460389627514307,"Positive",2.11130676523526e-07,"Boundary",0.683620009735036,"Positive",0.447582556887798,"Positive",0.140040370637526,0.0305164091441663,"sig"
"191","asv_7730",0.366539980005365,"Positive",0.0672164524807927,"Positive",0.625793583377023,"Positive",0.135157561608554,"Positive",0.139539439877999,0.0297054428238556,"sig"
"192","asv_7589",0.261187930468275,"Positive",5.93185031618444e-07,"Boundary",0.605205054528286,"Positive",0.187498741093195,"Positive",0.139323217530706,0.0252731919100573,"sig"
"193","asv_3206",0.247448671882199,"Positive",0.0388948095620258,"Positive",0.649447987255077,"Positive",0.480383379980902,"Positive",0.137999119908859,0.0312026076216956,"sig"
"194","asv_5450",0.610195576729035,"Positive",0.0150148480153001,"Positive",0.670199484934591,"Positive",0.272964032899355,"Positive",0.137947282950172,0.0279901750396136,"sig"
"195","asv_2888",0.554781923541404,"Positive",0.0800121556773814,"Positive",0.758550374384911,"Positive",0.870679094877583,"Positive",0.136576729962251,0.0372517081344399,"sig"
"196","asv_5772",0.259961161073241,"Positive",6.3100995944659e-07,"Boundary",0.581590838843582,"Positive",0.188212277177392,"Positive",0.134634835741287,0.0287468074491158,"sig"
"197","asv_3409",0.308955707413452,"Positive",0.0170536849003912,"Positive",0.641057355463178,"Positive",0.506383202556232,"Positive",0.134578375368115,0.0373185193971945,"sig"
"198","asv_4897",0.62411616003046,"Positive",1.63856844283067e-07,"Boundary",0.72548043419223,"Positive",0.754832253576337,"Positive",0.134486973991996,0.0322039685043555,"sig"
"199","asv_3892",0.356114240286204,"Positive",0.347568591966438,"Positive",0.706877840783633,"Positive",0.63551539110635,"Positive",0.132471470100232,0.0426987404099005,"sig"
"200","asv_2791",0.347516844226568,"Positive",0.0811367673721791,"Positive",0.637084545067353,"Positive",0.463886195850427,"Positive",0.132185518718841,0.0303171976611904,"sig"
"201","asv_3168",0.269405875412166,"Positive",5.75103185970785e-08,"Boundary",0.595180193469043,"Positive",0.353484833712051,"Positive",0.132025471368216,0.0276036574971443,"sig"
"202","asv_8181",0.421511462278236,"Positive",0.00490432498874171,"Positive",0.63128125520573,"Positive",0.451975867976945,"Positive",0.131525890822962,0.0288733699278054,"sig"
"203","asv_6287",0.682881752865083,"Positive",5.7698581530543e-07,"Boundary",0.618888176367851,"Positive",0.139668476989301,"Positive",0.130803372623909,0.0233238818416143,"sig"
"204","asv_5598",0.123634021617798,"Positive",0.0132803326886572,"Positive",0.555834490789234,"Positive",0.286706767465295,"Positive",0.130188609796981,0.0278344139685028,"sig"
"205","asv_2674",0.180749825011999,"Positive",0.0543639110680199,"Positive",0.545114600587111,"Positive",0.117554965160961,"Positive",0.130167814640541,0.0225070555696918,"sig"
"206","asv_6820",0.754133934897687,"Positive",0.0186271770942991,"Positive",0.673954260338506,"Positive",0.452515629560513,"Positive",0.129875555760171,0.0302426173386928,"sig"
"207","asv_1719",0.233200435526488,"Positive",0.0541018206037386,"Positive",0.555486966885111,"Positive",0.152099977399917,"Positive",0.129638583614082,0.0286051497140749,"sig"
"208","asv_4333",0.199206487063656,"Positive",5.16927668070599e-08,"Boundary",0.599279350419571,"Positive",0.555290310346332,"Positive",0.129050006863211,0.0294873028209365,"sig"
"209","asv_1922",0.394785414658285,"Positive",0.0516231782635119,"Positive",0.584393561811095,"Positive",0.218095295166144,"Positive",0.128752316671991,0.030193053726986,"sig"
"210","asv_10464",0.248201503150098,"Positive",0.0429890849760397,"Positive",0.548806610857061,"Positive",0.158650962611352,"Positive",0.127967273177525,0.0252102195640582,"sig"
"211","asv_5824",0.445981761248319,"Positive",6.00833718066543e-08,"Boundary",0.616815838609309,"Positive",0.500570268155385,"Positive",0.127090269632873,0.0364001104987916,"sig"
"212","asv_4464",0.246153430548689,"Positive",1.10254104377504e-07,"Boundary",0.584359239945418,"Positive",0.5385297151674,"Positive",0.125424749926128,0.0288034590083691,"sig"
"213","asv_3158",0.584289473804806,"Positive",0.0140707277800875,"Positive",0.638823078931843,"Positive",0.579158459809182,"Positive",0.125103863277876,0.0311401112937922,"sig"
