"","phenotype","Vplate","Vplate_constraint","Vmom","Vmom_constraint","VA","VA_constraint","VI","VI_constraint","VR","VR_constraint","heritability","heritability_se","VA_LRT_chi","VA_LRT_p","p_adjust"
"33","f_Enterobacteriaceae",0.116653372951533,"Positive",3.04299910049074e-07,"Boundary",0.11844051811789,"Positive",0.156318518324802,"Positive",3.00712725245346,"Positive",0.0348504120291833,0.0114645006982871,13.0739153892209,0.000299436555743937,0.000341866836922228
"34","f_Erysipelotrichaceae",0.051239518279446,"Positive",8.34099517826109e-08,"Boundary",0.0428092781211394,"Positive",0.0314442786162579,"Positive",0.824266885556648,"Positive",0.0450737829963772,0.0120504479760696,19.1544672037635,1.20555027174341e-05,1.53830396665901e-05
"35","f_Family_XI_2II",0.0894764690889146,"Positive",1.21896662320821e-07,"Boundary",0.110876471473261,"Positive",0.035883465416642,"Positive",1.20459705423161,"Positive",0.0769530033517915,0.0143647188092131,38.6152959636747,5.1612847329352e-10,1.17129795462745e-09
"36","f_Helicobacteraceae",0.0798667505552657,"Positive",1.75746686998938e-07,"Boundary",0.237808943241647,"Positive",0.110789933109072,"Positive",1.73674928762774,"Positive",0.109831556370157,0.019642215386396,50.0990722387796,1.46171963422148e-12,6.54293550556282e-12
"37","f_Lachnospiraceae",0.0300266282160871,"Positive",0.00210225781727931,"Positive",0.027808899770229,"Positive",0.0206259975864689,"Positive",0.37033883491805,"Positive",0.061673848500978,0.0147560646500418,32.1995800874465,1.39120819309113e-08,2.65081561116013e-08
"38","f_Lactobacillaceae",0.174018204431351,"Positive",1.02781305584658e-06,"Boundary",0.458530970949217,"Positive",0.145216566994123,"Positive",2.49638603866809,"Positive",0.140045684400861,0.0214484684332973,66.2597198367257,4.44089209850063e-16,7.82707232360735e-15
"39","f_Methanomethylophilaceae",0.100905306470302,"Positive",1.12431999682204e-06,"Boundary",0.366358136084059,"Positive",0.209252262893125,"Positive",1.79198738627071,"Positive",0.148413008049078,0.026395882314544,43.8981055406985,3.45923290012706e-11,1.07535806346549e-10
"40","f_Muribaculaceae",0.14509163385327,"Positive",1.47472370631866e-06,"Boundary",0.605542191684234,"Positive",0.150904260457365,"Positive",2.82076149857351,"Positive",0.162679531300297,0.022936840101658,72.6482921178467,0,0
"41","f_Pasteurellaceae",0.198143400818818,"Positive",2.24311357687609e-07,"Boundary",0.28679590747133,"Positive",0.0895922256197217,"Positive",2.21667103558612,"Positive",0.102749935657711,0.0171325411559739,64.3415766810685,9.99200722162641e-16,1.34178382690412e-14
"42","f_Peptococcaceae",0.0674213028371905,"Positive",0.00325161142072108,"Positive",0.0724691380015015,"Positive",0.0295680096397833,"Positive",1.83307455514813,"Positive",0.0361300696922195,0.00924266770124709,20.269205162982,6.72747315588751e-06,8.9067954458229e-06
"43","f_Prevotellaceae",0.0469959767176712,"Positive",5.54712737961792e-08,"Boundary",0.157699760715889,"Positive",0.0422085114210505,"Positive",0.548173606538027,"Positive",0.198345040858369,0.0284474855157391,57.9725405452809,2.65343302885412e-14,1.74015840496945e-13
"44","f_Rikenellaceae",0.0952318061488519,"Positive",8.40248010637947e-08,"Boundary",0.320105020734843,"Positive",0.0887407234435783,"Positive",1.38213868780016,"Positive",0.169707481043103,0.0242436106340174,73.8537264489896,0,0
"45","f_Ruminococcaceae",0.0323162002594829,"Positive",0.000596751173368232,"Positive",0.0138609465557903,"Positive",0.014863404638396,"Positive",0.333669616473734,"Positive",0.0350637590339188,0.0111024206383003,12.699947639112,0.000365665814593186,0.000415797418206768
"46","f_Spirochaetaceae",0.16694158651028,"Positive",0.0219337207489048,"Positive",0.624596298495559,"Positive",0.529851207724535,"Positive",4.46259928537539,"Positive",0.107579173103058,0.0235338419934711,28.6485213843116,8.67802290027697e-08,1.43953085757536e-07
"47","f_Streptococcaceae",0.133908045209312,"Positive",3.42692090564263e-07,"Boundary",0.677461286414391,"Positive",0.175896376060097,"Positive",3.38652326440009,"Positive",0.154891156765536,0.0230796611274399,64.8634442648981,7.7715611723761e-16,1.21754458367225e-14
"48","f_Succinivibrionaceae",0.309049055806059,"Positive",0.0596403473250649,"Positive",0.42396266217024,"Positive",0.367267930873584,"Positive",3.58657944892017,"Positive",0.0893211232982129,0.0210714332369083,27.0537331155501,1.97877714436245e-07,3.17054065176257e-07
"49","f_vadinBE97",0.218151724804695,"Positive",0.0229268118212327,"Positive",0.51094132466216,"Positive",0.662348877478956,"Positive",4.82901281556427,"Positive",0.0818372736338207,0.0208988533977195,26.8808847282489,2.16388531648626e-07,3.42817786095014e-07
