"","age_window","diet_shannon_h","season","baboon_id"
"96","3_6",1.62045214656965,"dry","b_1056"
"97","2_5",1.74214964442284,"wet","b_1056"
"98","3_6",1.90766909233036,"wet","b_1056"
"99","4_7",1.91809265817993,"wet","b_1056"
"100","1_4",1.65131962103206,"wet","b_1056"
"101","1_4",1.2624616060542,"dry","b_914"
"102","2_5",1.11133512692959,"dry","b_914"
"103","3_6",1.03898849697497,"dry","b_914"
"104","0_3",1.75666883647936,"wet","b_914"
"105","1_4",1.56266879877781,"wet","b_914"
"106","2_5",1.70874234318899,"wet","b_914"
"107","3_6",1.67584597722155,"wet","b_914"
"108","4_7",1.75770550364279,"wet","b_914"
"109","4_7",1.10283453036975,"dry","b_914"
"110","5_8",1.01575866774094,"dry","b_914"
"111","5_8",1.50329110459494,"wet","b_914"
"112","0_3",1.63931162638061,"dry","b_216"
"113","1_4",1.38624809072858,"dry","b_216"
"114","2_5",1.07268704364106,"dry","b_216"
"115","1_4",1.68712072181067,"wet","b_216"
"116","2_5",1.72568812311395,"wet","b_216"
"117","3_6",1.49780813988476,"dry","b_912"
"118","0_3",1.41513066457527,"dry","b_912"
"119","1_4",1.55316570099603,"dry","b_912"
"120","2_5",1.74883233865718,"dry","b_912"
"121","0_3",1.83309068685795,"wet","b_912"
"122","1_4",1.78196381619544,"wet","b_912"
"123","2_5",1.93123788134044,"wet","b_912"
"124","3_6",1.75036201696474,"wet","b_912"
"125","13_27",0.815186210795646,"dry","b_1047"
"126","10_13",1.00715327865939,"dry","b_1047"
"127","11_14",0.851778753311452,"dry","b_1047"
"128","12_15",0.857036558422154,"dry","b_1047"
"129","10_13",1.55985911843039,"wet","b_1047"
"130","11_14",1.68613158383195,"wet","b_1047"
"131","12_15",1.48044248853927,"wet","b_1047"
"132","13_28",1.51081387050377,"wet","b_1047"
"133","4_7",1.75474690316994,"wet","b_1047"
"134","5_8",1.66442269436145,"wet","b_1047"
"135","6_9",1.60550868704824,"wet","b_1047"
"136","7_10",1.54306405991767,"wet","b_1047"
"137","8_11",1.4236861318353,"wet","b_1047"
"138","9_12",1.6452926218728,"wet","b_1047"
"139","7_10",0.865687692700544,"dry","b_1047"
"140","8_11",0.851434360495859,"dry","b_1047"
"141","9_12",1.13965205339403,"dry","b_1047"
"142","5_8",1.24103677919499,"dry","b_1047"
"143","6_9",1.16845625716361,"dry","b_1047"
