"","trait","h2_estimate","is_heritable","dataset"
"3244","4440624",2.94e-15,"NS","Goodrich_2014_Yatsunenko"
"3245","4441615",0.632336798,"heritable","Goodrich_2014_Yatsunenko"
"3246","4442130",0.079029289,"NS","Goodrich_2014_TwinsUK"
"3247","4442387",4.67e-14,"NS","Goodrich_2014_Yatsunenko"
"3248","4442459",0.089802426,"NS","Goodrich_2014_Yatsunenko"
"3249","4442508",1.01e-15,"NS","Goodrich_2014_Yatsunenko"
"3250","4442699",0.232728384,"NS","Goodrich_2014_Yatsunenko"
"3251","4442899",5.54e-11,"NS","Goodrich_2014_Yatsunenko"
"3252","4443143",0.543850886,"heritable","Goodrich_2014_Yatsunenko"
"3253","4443846",0.08799526,"NS","Goodrich_2014_TwinsUK"
"3254","4444095",0.462222304,"NS","Goodrich_2014_Yatsunenko"
"3255","4444262",2.22e-17,"NS","Goodrich_2014_Yatsunenko"
"3256","4444529",0.039967027,"NS","Goodrich_2014_Yatsunenko"
"3257","4445028",0.019477643,"NS","Goodrich_2014_Turnbaugh"
"3258","4446238",3.67e-12,"NS","Goodrich_2014_Yatsunenko"
"3259","4446669",2.74e-14,"NS","Goodrich_2014_TwinsUK"
"3260","4446669",0.421034487,"NS","Goodrich_2014_Yatsunenko"
"3261","4446741",1.57e-14,"NS","Goodrich_2014_Yatsunenko"
"3262","4446902",0.475533331,"heritable","Goodrich_2014_Yatsunenko"
"3263","4447072",7.58e-15,"NS","Goodrich_2014_TwinsUK"
"3264","4447176",2.08e-13,"NS","Goodrich_2014_Yatsunenko"
"3265","4447188",2.67e-13,"NS","Goodrich_2014_Yatsunenko"
"3266","4447950",6.07e-14,"NS","Goodrich_2014_TwinsUK"
"3267","4448492",0.107411841,"NS","Goodrich_2014_TwinsUK"
"3268","4448492",2.98e-13,"NS","Goodrich_2014_Yatsunenko"
"3269","4449054",0,"NS","Goodrich_2014_TwinsUK"
"3270","4449054",3.27e-15,"NS","Goodrich_2014_Yatsunenko"
"3271","4449055",1.47e-16,"NS","Goodrich_2014_Yatsunenko"
"3272","4449236",1.08e-11,"NS","Goodrich_2014_TwinsUK"
"3273","4449410",0.175402384,"heritable","Goodrich_2014_Yatsunenko"
"3274","4449427",0.170683103,"NS","Goodrich_2014_TwinsUK"
"3275","4449633",0.227608325,"NS","Goodrich_2014_Yatsunenko"
"3276","4450010",1.18e-11,"NS","Goodrich_2014_TwinsUK"
"3277","4450198",0.12774668,"NS","Goodrich_2014_Yatsunenko"
"3278","4450214",0.288727249,"NS","Goodrich_2014_TwinsUK"
"3279","4450214",3.89e-17,"NS","Goodrich_2014_Yatsunenko"
"3280","4451152",3.58e-12,"NS","Goodrich_2014_Yatsunenko"
"3281","4451251",3.62e-11,"NS","Goodrich_2014_Yatsunenko"
"3282","4451392",0.054251142,"NS","Goodrich_2014_Yatsunenko"
"3283","4451899",6.05e-11,"NS","Goodrich_2014_Yatsunenko"
"3284","4451906",2.65e-13,"NS","Goodrich_2014_TwinsUK"
"3285","4451906",2.41e-12,"NS","Goodrich_2014_Turnbaugh"
"3286","4451906",4.04e-13,"NS","Goodrich_2014_Yatsunenko"
"3287","4452107",0.362374496,"NS","Goodrich_2014_Yatsunenko"
"3288","4453304",0.245675462,"heritable","Goodrich_2014_TwinsUK"
"3289","4453307",4.07e-14,"NS","Goodrich_2014_Turnbaugh"
"3290","4453501",0.213813027,"NS","Goodrich_2014_TwinsUK"
"3291","4453535",0.377462803,"heritable","Goodrich_2014_Yatsunenko"
"3292","4453609",0.012617071,"NS","Goodrich_2014_TwinsUK"
"3293","4453609",0.25008662,"NS","Goodrich_2014_Yatsunenko"
"3294","4453773",0.21181653,"NS","Goodrich_2014_Yatsunenko"
"3295","4453976",0.358325286,"NS","Goodrich_2014_Yatsunenko"
