"","phenotype","Vplate","Vplate_constraint","Vmom","Vmom_constraint","VA","VA_constraint","VI","VI_constraint","VR","VR_constraint","heritability","heritability_se","VA_LRT_chi","VA_LRT_p","p_adjust"
"31","n126",0.06751486929309,"Positive",0.00885154961065565,"Positive",0.0306410743725837,"Positive",0.0500504369252353,"Positive",1.45452214831817,"Positive",0.0190130635027011,0.0080116800277349,8.43975532357217,0.00367105638406495,0.00447152520265303
"32","n127",0.00120494609287081,"Positive",0.000624988564708069,"Positive",0.0026318062869817,"Positive",0.00367129399181291,"Positive",0.0624137132498927,"Positive",0.0373058483154019,0.0127271764583405,12.2746195566069,0.000459160253000523,0.000609270335712233
"33","n128",0.0015621332244916,"Positive",1.97137365443095e-08,"Boundary",0.0134071091629331,"Positive",0.0130653601528824,"Positive",0.116739004138635,"Positive",0.0926074002357871,0.0213121480974415,30.4414133990867,3.44103061600265e-08,1.01034515959227e-07
"34","n129",0.00227099733543088,"Positive",0.00149802828922524,"Positive",0.0090935679873786,"Positive",0.00922264142231338,"Positive",0.127280723426398,"Positive",0.0608811276752088,0.0168401283982329,18.8757068969171,1.39518135027217e-05,2.37697563379703e-05
"35","n13",0.0012755610541449,"Positive",0.000130049390983647,"Positive",0.000507004835841057,"Positive",0.000648288094989259,"Positive",0.0727898903974668,"Positive",0.0067285931634056,0.0042551215486044,3.04459341656911,0.0810063979145366,0.0853349840626416
"36","n130",0.0207481700071648,"Positive",4.0712118984321e-08,"Boundary",0.0628746885525324,"Positive",0.0310863764910463,"Positive",0.402321914860691,"Positive",0.121607148065292,0.0217097977201309,45.6857599021769,1.38827838114253e-11,9.57912082988344e-11
"37","n131",0.00807908595105862,"Positive",3.93816177106721e-08,"Boundary",0.0336644145706226,"Positive",0.00866202859402558,"Positive",0.389173745875796,"Positive",0.0765832546479832,0.013714857144798,54.1946241224341,1.81632486828676e-13,1.92809870633517e-12
"38","n132",0.0136745100594117,"Positive",9.15850603215447e-08,"Boundary",0.0426677127793837,"Positive",0.0122564801328304,"Positive",0.172642362064085,"Positive",0.176867468955378,0.0251531316008073,80.7860094418393,0,0
"39","n133",0.0306442894642605,"Positive",4.664121177719e-08,"Boundary",0.0343307280616131,"Positive",0.0208138708274661,"Positive",0.460913902340696,"Positive",0.0627959573594841,0.0134673477876264,38.6641183735755,5.03378227989515e-10,2.24084501492107e-09
"40","n134",0.000457729331128528,"Positive",2.47451875129733e-09,"Boundary",0.000547076094501102,"Positive",0.000201434313947346,"Positive",0.0244534833169463,"Positive",0.0213204187955663,0.00597685760252608,23.3972982994892,1.31763464161772e-06,2.88624731021023e-06
"41","n135",0.0363059373817339,"Positive",0.00161209170106041,"Positive",0.0527209062302786,"Positive",0.0461316391576707,"Positive",0.337517263639691,"Positive",0.111158039473074,0.0238359572364974,33.4059086241086,7.47963802005813e-09,2.34588646992732e-08
"42","n136",0.0152442803499413,"Positive",1.10224538552116e-08,"Boundary",0.0397418750008293,"Positive",0.0214253013969699,"Positive",0.174302174074018,"Positive",0.158515008232077,0.0264907191701859,61.8827127543336,3.66373598126302e-15,5.61772850460329e-14
"43","n137",0.00032243007387952,"Positive",1.20608788571197e-08,"Boundary",0.00285260268831341,"Positive",0.00545943988887861,"Positive",0.0306192870882637,"Positive",0.0726707920663526,0.0233047818201673,14.6893579663883,0.00012676003597456,0.000184135631205151
"44","n138",0.0042477509857308,"Positive",1.04545888891317e-08,"Boundary",0.00460873667998271,"Positive",0.00551392652986964,"Positive",0.103313468468115,"Positive",0.0391620004901636,0.0122963725808667,14.9091926201436,0.000112811926801237,0.000165617509559263
