"","baboon_id","age_in_years","social_groups","hydrological_years","grooming_partner_diversity","grooming_partner_richness"
"138","b_193",10,"1.11","2019-2020",2.85098101816337,21
"139","b_193",5,"1.11","2014-2015",2.80528836517998,22
"140","b_193",6,"1.11","2015-2016",3.35604315555195,34
"141","b_193",7,"1.11","2016-2017",3.16578282899191,31
"142","b_193",8,"1.11","2017-2018",2.37295171897177,27
"143","b_193",9,"1.11","2018-2019",2.92306216619674,30
"144","b_978",5,"1.1","2006-2007",2.96726321949887,25
"145","b_978",6,"1.1","2007-2008",3.34080060595419,42
"146","b_978",7,"1.1","2008",0,1
"147","b_1531",5,"1.1","2002",3.25832295902709,37
"148","b_1531",6,"1.1","2003",2.27642268580582,11
"149","b_979",5,"1.1","2008-2009",2.54371456799855,25
"150","b_979",6,"1.1-1.12","2009-2010",3.15046817133237,35
"151","b_979",7,"1.12-1.1","2010-2011",2.30980331047266,18
"152","b_979",8,"1.12","2012",2.263404454794,21
"153","b_979",9,"1.12","2012",0.636514168294813,2
"154","b_427",10,"1.11","2012-2013",2.06430697021707,22
"155","b_427",11,"1.11","2013-2014",2.51375616643471,26
"156","b_427",12,"1.11","2014-2015",1.94645798262125,19
"157","b_427",13,"1.11","2015-2016",2.64878510756332,24
"158","b_427",14,"1.11","2016-2017",2.66613122035829,23
"159","b_427",15,"1.11","2017-2018",2.84467615489427,26
"160","b_427",16,"1.11","2018-2019",3.14870517600189,34
"161","b_427",17,"1.11","2019-2020",2.88378345612292,21
"162","b_427",5,"1.1","2007-2008",2.85127750726164,25
"163","b_427",6,"1.1","2008-2009",3.16230617593617,32
"164","b_427",7,"1.1-1.11","2009-2010",3.19403575220179,35
"165","b_427",8,"1.1-1.11","2010-2011",2.65778443680941,23
"166","b_427",9,"1.11","2011-2012",2.56297145558646,27
"167","b_393",10,"1.221","2016-2017",2.13297821446619,19
"168","b_393",11,"1.221","2017-2018",2.10670497943363,20
"169","b_393",12,"1.221","2018-2019",2.52818464465456,24
"170","b_393",13,"1.221-1.2222-2.11","2019-2020",2.4843668399738,13
"171","b_393",5,"1.22","2011-2012",3.2029876989663,31
"172","b_393",6,"1.22","2012-2013",3.28176168995403,36
"173","b_393",7,"1.221-1.22","2013-2014",2.46655062458641,27
"174","b_393",8,"1.221-1.222","2014-2015",1.78861922846814,20
"175","b_393",9,"1.221","2015-2016",2.96712349711474,28
"176","b_988",5,"1.22","2005-2006",2.8534909510367,25
"177","b_988",6,"1.22","2006-2007",2.54138705352053,20
"178","b_988",7,"1.22","2007-2008",2.60877762616812,31
"179","b_988",8,"1.22","2008-2009",2.57458315249125,26
"180","b_428",10,"1.11","2015-2016",2.49751369592683,26
"181","b_428",11,"1.11","2016-2017",2.12205924441461,26
"182","b_428",12,"1.11","2017-2018",2.54508071416389,31
"183","b_428",13,"1.11","2018-2019",3.30090873213421,45
"184","b_428",14,"1.11","2019-2020",2.27342367370436,18
"185","b_428",5,"1.11-1.1","2010-2011",3.00232904266947,29
"186","b_428",6,"1.11","2011-2012",3.39132131647526,39
"187","b_428",7,"1.11","2012-2013",3.19024853421445,36
"188","b_428",8,"1.11","2013-2014",1.8714545961018,26
"189","b_428",9,"1.11","2014-2015",2.33868281295698,35
"190","b_423",10,"1","1983",2.93101467853593,32
"191","b_423",11,"1","1983-1984",3.08056217004871,44
"192","b_423",12,"1","1984-1985",3.0661420872664,38
"193","b_423",13,"1","1985-1986",2.66326355177446,40
"194","b_423",14,"1","1986-1987",2.78256951347705,39
"195","b_423",15,"1","1987-1988",2.79769396475388,34
"196","b_423",16,"1","1988-1989",2.6600661207086,28
"197","b_423",17,"1-1.2","1989-1990",2.71718681316961,28
"198","b_423",18,"1.2","1990-1991",1.7653395327214,8
"199","b_423",19,"1.2","1991-1992",1.73712669401633,8
"200","b_423",20,"1.2","1992-1993",1.18045389278355,4
"201","b_423",21,"1.2","1993-1994",2.2459395727076,12
"202","b_423",22,"1.2","1994-1995",1.48230993998808,11
"203","b_423",23,"1.2","1995-1996",1.63763000617129,8
"204","b_423",24,"1.2","1996-1997",2.70054066505052,27
"205","b_423",25,"1.2","1997-1998",2.65914488033613,28
"206","b_423",26,"1.2-1.22","1998-1999",2.41899306494862,27
"207","b_423",27,"1.21","1999-2000",1.883551419214,11
"208","b_423",28,"1.21","2000-2001",2.10293800439003,15
"209","b_1001",10,"1.2-1.22","1998-1999",2.03928094910032,17
"210","b_1001",11,"1.22","1999-2000",2.47312933968653,23
"211","b_1001",12,"1.22","2000-2001",2.31210481263371,19
"212","b_1001",13,"1.22","2001-2002",2.00249272339524,14
"213","b_1001",5,"1.2","1993-1994",2.21381250393024,18
"214","b_1001",6,"1.2","1995",1.01784483653064,5
"215","b_1001",7,"1.2","1996",2.58258345318915,24
"216","b_1001",8,"1.2","1996-1997",2.294787722847,27
"217","b_1001",9,"1.2","1997-1998",2.0946114545588,21
"218","b_741",10,"1.1","1998-1999",2.48613531432864,33
"219","b_741",11,"1.1","1999-2000",2.16261742699617,22
"220","b_741",12,"1.1","2000-2001",2.18443718526199,22
"221","b_741",13,"1.1","2001-2002",2.64388821763771,28
"222","b_741",14,"1.1","2002-2003",2.51405933330672,27
"223","b_741",15,"1.1","2003-2004",2.89528904026869,32
"224","b_741",16,"1.1","2004-2005",2.60594684714603,25
"225","b_741",17,"1.1","2005-2006",2.65362603148449,25
"226","b_741",18,"1.1","2006-2007",2.40485310194159,22
"227","b_741",19,"1.1","2007-2008",1.96158913476817,20
"228","b_741",20,"1.1","2008-2009",2.41674610425091,22
"229","b_741",21,"1.1","2009-2010",2.92393743947398,30
"230","b_741",22,"1.11-1.1","2010",2.32734142064003,14
"231","b_741",5,"1.1","1994",1.72934596537923,9
"232","b_741",6,"1.1","1994-1995",1.50886144455591,6
"233","b_741",7,"1.1","1996",1.54197643276282,6
"234","b_741",8,"1.1","1997",2.222229423812,19
"235","b_741",9,"1.1","1997-1998",1.95397387208832,20
"236","b_1016",10,"1.1","1992-1993",1.94591014905531,8
"237","b_1016",11,"1.1","1994",1.89756313414532,10
"238","b_1016",12,"1.1","1994-1995",1.78011358320054,9
"239","b_1016",13,"1.1","1995-1996",1.63424521628449,7
"240","b_1016",14,"1.1","1996-1997",2.29305684206792,17
"241","b_1016",15,"1.1","1997-1998",2.34144886754703,28
"242","b_1016",16,"1.1","1998-1999",2.83467129712696,33
"243","b_1016",17,"1.1","1999-2000",1.95531311534768,22
"244","b_1016",18,"1.1","2000-2001",2.81348799184854,31
"245","b_1016",19,"1.1","2001-2002",2.59882166142642,26
"246","b_1016",20,"1.1","2002-2003",3.18870155278587,38
"247","b_1016",21,"1.1","2003-2004",2.2253082405419,24
"248","b_1016",22,"1.1","2004-2005",2.42556585524096,19
